Time,Incidence Number,Imported Cases,date
160,2.0,0.0,2020-08-11
161,3.0,1.0,2020-08-12
162,1.0,3.0,2020-08-13
163,2.0,1.0,2020-08-14
164,3.0,1.0,2020-08-15
165,2.0,0.0,2020-08-16
166,2.0,1.0,2020-08-17
167,7.0,0.0,2020-08-18
168,5.0,0.0,2020-08-19
169,13.0,1.0,2020-08-20
170,12.0,3.0,2020-08-21
171,7.0,1.0,2020-08-22
172,9.0,0.0,2020-08-23
173,10.0,1.0,2020-08-24
174,22.0,1.0,2020-08-25
175,10.0,0.0,2020-08-26
176,25.0,1.0,2020-08-27
177,37.0,2.0,2020-08-28
178,20.0,1.0,2020-08-29
179,25.0,0.0,2020-08-30
180,17.0,1.0,2020-08-31
181,33.0,1.0,2020-09-01
182,17.0,0.0,2020-09-02
183,33.0,1.0,2020-09-03
184,20.0,3.0,2020-09-04
185,12.0,1.0,2020-09-05
186,9.0,2.0,2020-09-06
187,6.0,0.0,2020-09-07
188,13.0,0.0,2020-09-08
189,7.0,0.0,2020-09-09
190,21.0,0.0,2020-09-10
191,7.0,1.0,2020-09-11
192,17.0,2.0,2020-09-12
193,7.0,0.0,2020-09-13
194,4.0,1.0,2020-09-14
195,4.0,0.0,2020-09-15
196,19.0,0.0,2020-09-16
197,8.0,2.0,2020-09-17
198,6.0,1.0,2020-09-18
199,5.0,0.0,2020-09-19
200,6.0,1.0,2020-09-20
201,7.0,1.0,2020-09-21
202,13.0,0.0,2020-09-22
203,6.0,0.0,2020-09-23
204,12.0,2.0,2020-09-24
205,3.0,0.0,2020-09-25
206,5.0,2.0,2020-09-26
208,3.0,0.0,2020-09-28
209,22.0,3.0,2020-09-29
210,6.0,0.0,2020-09-30
211,15.0,1.0,2020-10-01
212,42.0,1.0,2020-10-02
213,15.0,0.0,2020-10-03
214,10.0,0.0,2020-10-04
215,13.0,0.0,2020-10-05
216,18.0,0.0,2020-10-06
217,14.0,0.0,2020-10-07
218,44.0,0.0,2020-10-08
219,13.0,2.0,2020-10-09
220,23.0,1.0,2020-10-10
221,5.0,0.0,2020-10-11
222,21.0,0.0,2020-10-12
223,18.0,0.0,2020-10-13
224,13.0,0.0,2020-10-14
225,20.0,0.0,2020-10-15
226,12.0,0.0,2020-10-16
227,14.0,0.0,2020-10-17
228,7.0,0.0,2020-10-18
229,23.0,0.0,2020-10-19
230,9.0,0.0,2020-10-20
231,25.0,4.0,2020-10-21
232,33.0,1.0,2020-10-22
233,16.0,0.0,2020-10-23
234,50.0,1.0,2020-10-24
235,8.0,1.0,2020-10-25
236,3.0,0.0,2020-10-26
237,4.0,1.0,2020-10-27
238,6.0,1.0,2020-10-28
239,13.0,1.0,2020-10-29
240,14.0,1.0,2020-10-30
241,26.0,0.0,2020-10-31
242,5.0,0.0,2020-11-01
243,6.0,1.0,2020-11-02
244,20.0,1.0,2020-11-03
245,16.0,6.0,2020-11-04
246,16.0,5.0,2020-11-05
247,11.0,0.0,2020-11-06
248,16.0,3.0,2020-11-07
249,3.0,1.0,2020-11-08
250,2.0,0.0,2020-11-09
251,19.0,4.0,2020-11-10
252,11.0,4.0,2020-11-11
253,6.0,2.0,2020-11-12
254,8.0,4.0,2020-11-13
255,7.0,1.0,2020-11-14
256,2.0,4.0,2020-11-15
257,1.0,1.0,2020-11-16
258,7.0,4.0,2020-11-17
259,8.0,5.0,2020-11-18
260,9.0,6.0,2020-11-19
261,11.0,2.0,2020-11-20
262,9.0,1.0,2020-11-21
263,3.0,3.0,2020-11-22
264,2.0,0.0,2020-11-23
265,8.0,3.0,2020-11-24
266,3.0,2.0,2020-11-25
267,7.0,9.0,2020-11-26
268,1.0,3.0,2020-11-27
269,3.0,1.0,2020-11-28
270,5.0,1.0,2020-11-29
271,2.0,0.0,2020-11-30
272,5.0,0.0,2020-12-01
273,8.0,4.0,2020-12-02
274,7.0,5.0,2020-12-03
275,4.0,1.0,2020-12-04
276,4.0,3.0,2020-12-05
277,3.0,2.0,2020-12-06
278,8.0,4.0,2020-12-07
279,10.0,13.0,2020-12-08
280,2.0,1.0,2020-12-09
281,12.0,5.0,2020-12-10
282,6.0,4.0,2020-12-11
283,16.0,0.0,2020-12-12
284,8.0,2.0,2020-12-13
285,2.0,3.0,2020-12-14
286,10.0,5.0,2020-12-15
287,5.0,2.0,2020-12-16
288,17.0,4.0,2020-12-17
289,10.0,3.0,2020-12-18
290,9.0,4.0,2020-12-19
291,4.0,2.0,2020-12-20
292,9.0,3.0,2020-12-21
293,10.0,3.0,2020-12-22
294,5.0,3.0,2020-12-23
295,3.0,1.0,2020-12-24
296,3.0,0.0,2020-12-25
297,1.0,1.0,2020-12-26
298,3.0,4.0,2020-12-27
299,1.0,1.0,2020-12-28
300,1.0,13.0,2020-12-29
301,3.0,10.0,2020-12-30
