Date Added,Risk2,Traveler,County2,Date Added (copy),Freq - Hawaii,Freq - Honolulu,Freq - Kauai,Freq - Maui,Frequency Count,Total Number of Cases
6/18/2020,Community-Associated,No Travel History,Kauai,6/18/2020,0,0,1,0,1,1
6/18/2020,Travel-Associated (Resident),Travel History,Maui,6/18/2020,0,0,0,1,1,1
6/19/2020,Community-Associated,No Travel History,Honolulu,6/19/2020,0,4,0,0,4,4
6/19/2020,Community-Associated,No Travel History,Kauai,6/19/2020,0,0,7,0,7,7
6/19/2020,Travel-Associated (Resident),Travel History,Maui,6/19/2020,0,0,0,1,1,1
6/20/2020,Community-Associated,No Travel History,Hawaii,6/20/2020,2,0,0,0,2,2
6/20/2020,Community-Associated,No Travel History,Honolulu,6/20/2020,0,7,0,0,7,7
6/20/2020,Travel-Associated (Resident),Travel History,Honolulu,6/20/2020,0,1,0,0,1,1
6/21/2020,Community-Associated,No Travel History,Honolulu,6/21/2020,0,4,0,0,4,4
6/22/2020,Community-Associated,No Travel History,Honolulu,6/22/2020,0,2,0,0,2,2
6/22/2020,Travel-Associated (Resident),Travel History,Honolulu,6/22/2020,0,1,0,0,1,1
6/23/2020,Travel-Associated (Resident),Travel History,Hawaii,6/23/2020,1,0,0,0,1,1
6/23/2020,Community-Associated,No Travel History,Honolulu,6/23/2020,0,11,0,0,11,11
6/23/2020,Travel-Associated (Resident),Travel History,Honolulu,6/23/2020,0,1,0,0,1,1
6/24/2020,Community-Associated,No Travel History,Honolulu,6/24/2020,0,12,0,0,12,12
6/24/2020,Community-Associated,No Travel History,Kauai,6/24/2020,0,0,3,0,3,3
6/25/2020,Community-Associated,No Travel History,Honolulu,6/25/2020,0,14,0,0,14,14
6/25/2020,Community-Associated,No Travel History,Kauai,6/25/2020,0,0,2,0,2,2
6/26/2020,Community-Associated,No Travel History,Honolulu,6/26/2020,0,4,0,0,4,4
6/26/2020,Travel-Associated (Resident),Travel History,Honolulu,6/26/2020,0,1,0,0,1,1
6/26/2020,Community-Associated,No Travel History,Kauai,6/26/2020,0,0,1,0,1,1
6/27/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,6/27/2020,1,0,0,0,1,1
6/27/2020,Community-Associated,No Travel History,Honolulu,6/27/2020,0,23,0,0,23,23
6/27/2020,Community-Associated,No Travel History,Kauai,6/27/2020,0,0,2,0,2,2
6/28/2020,Community-Associated,No Travel History,Honolulu,6/28/2020,0,2,0,0,2,2
6/29/2020,Community-Associated,No Travel History,Honolulu,6/29/2020,0,14,0,0,14,14
6/29/2020,Travel-Associated (Resident),Travel History,Honolulu,6/29/2020,0,2,0,0,2,2
6/29/2020,Community-Associated,No Travel History,Kauai,6/29/2020,0,0,1,0,1,1
6/29/2020,Travel-Associated (Resident),Travel History,Maui,6/29/2020,0,0,0,1,1,1
6/30/2020,Community-Associated,No Travel History,Honolulu,6/30/2020,0,5,0,0,5,5
6/30/2020,Travel-Associated (Resident),Travel History,Maui,6/30/2020,0,0,0,2,2,2
7/1/2020,Community-Associated,No Travel History,Hawaii,7/1/2020,1,0,0,0,1,1
7/1/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,7/1/2020,1,0,0,0,1,1
7/1/2020,Travel-Associated (Resident),Travel History,Hawaii,7/1/2020,1,0,0,0,1,1
7/1/2020,Community-Associated,No Travel History,Honolulu,7/1/2020,0,16,0,0,16,16
7/1/2020,Travel-Associated (Resident),Travel History,Honolulu,7/1/2020,0,1,0,0,1,1
7/2/2020,Travel-Associated (Resident),Travel History,Hawaii,7/2/2020,1,0,0,0,1,1
7/2/2020,Community-Associated,No Travel History,Honolulu,7/2/2020,0,21,0,0,21,21
7/2/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,7/2/2020,0,1,0,0,1,1
7/2/2020,Travel-Associated (Resident),Travel History,Honolulu,7/2/2020,0,3,0,0,3,3
7/2/2020,Travel-Associated (Non-Resident),Travel History,Maui,7/2/2020,0,0,0,1,1,1
7/2/2020,Travel-Associated (Resident),Travel History,Maui,7/2/2020,0,0,0,1,1,1
7/3/2020,Community-Associated,No Travel History,Hawaii,7/3/2020,1,0,0,0,1,1
7/3/2020,Travel-Associated (Resident),Travel History,Hawaii,7/3/2020,1,0,0,0,1,1
7/3/2020,Community-Associated,No Travel History,Honolulu,7/3/2020,0,18,0,0,18,18
7/3/2020,Travel-Associated (Resident),Travel History,Honolulu,7/3/2020,0,1,0,0,1,1
7/3/2020,Travel-Associated (Resident),Travel History,Kauai,7/3/2020,0,0,2,0,2,2
7/3/2020,Travel-Associated (Non-Resident),Travel History,Maui,7/3/2020,0,0,0,1,1,1
7/4/2020,Community-Associated,No Travel History,Honolulu,7/4/2020,0,24,0,0,24,24
7/4/2020,Travel-Associated (Resident),Travel History,Honolulu,7/4/2020,0,1,0,0,1,1
7/5/2020,Community-Associated,No Travel History,Hawaii,7/5/2020,1,0,0,0,1,1
7/5/2020,Community-Associated,No Travel History,Honolulu,7/5/2020,0,6,0,0,6,6
